Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
12-2015,PEPINOS,471.16,553.22,1.17,2.87,HIPERMERCADOS,2015,12
12-2015,JUDIAS VERDES,345.39,1146.56,3.32,2.33,HIPERMERCADOS,2015,12
12-2015,PIMIENTOS,1525.51,2599.02,0.17,9.87,HIPERMERCADOS,2015,12
12-2015,CHAMPIÑONES+O.SETAS,539.46,1996.69,0.37,4.68,HIPERMERCADOS,2015,12
12-2015,LECHUGA/ESC./ENDIVIA,1198.6,3673.05,3.06,9.84,HIPERMERCADOS,2015,12
12-2015,ESPARRAGOS,135.43,449.91,3.32,0.74,HIPERMERCADOS,2015,12
12-2015,VERDURAS DE HOJA,190.27,639.72,3.36,2.01,HIPERMERCADOS,2015,12
12-2015,BERENJENAS,322.14,511.34,1.59,2.54,HIPERMERCADOS,2015,12
12-2015,ZANAHORIAS,1132.83,909.39,0.08,0.66,HIPERMERCADOS,2015,12
12-2015,CALABACINES,1042.88,1522.95,1.46,5.56,HIPERMERCADOS,2015,12
12-2015,OTR.HORTALIZAS/VERD.,3014.98,6747.92,2.24,14.01,HIPERMERCADOS,2015,12
12-2015,VERD./HORT. IV GAMA,1026.31,4409.8,0.43,8.68,HIPERMERCADOS,2015,12
01-2016,TOTAL PATATAS,13293.46,11901.31,0.09,16.51,HIPERMERCADOS,2016,1
01-2016,PATATAS FRESCAS,7680.06,5579.82,0.73,8.93,HIPERMERCADOS,2016,1
01-2016,PATATAS CONGELADAS,531.97,664.98,1.25,1.68,HIPERMERCADOS,2016,1
01-2016,PATATAS PROCESADAS,1016.29,5656.51,5.57,10.49,HIPERMERCADOS,2016,1
01-2016,T.HORTALIZAS FRESCAS,18383.73,31978.38,1.74,2.76,HIPERMERCADOS,2016,1
01-2016,TOMATES,3758.99,5758.99,1.53,13.56,HIPERMERCADOS,2016,1
01-2016,CEBOLLAS,2542.44,2548.23,0.01,9.54,HIPERMERCADOS,2016,1
01-2016,AJOS,239.25,1100.01,0.46,3.45,HIPERMERCADOS,2016,1
01-2016,COLES,629.71,699.18,1.11,2.66,HIPERMERCADOS,2016,1
01-2016,PEPINOS,406.08,474.49,1.17,3.39,HIPERMERCADOS,2016,1
01-2016,JUDIAS VERDES,390.48,1292.65,3.31,2.61,HIPERMERCADOS,2016,1
01-2016,PIMIENTOS,1376.3,2326.23,1.69,9.93,HIPERMERCADOS,2016,1
01-2016,CHAMPIÑONES+O.SETAS,447.64,1676.52,3.75,4.48,HIPERMERCADOS,2016,1
01-2016,LECHUGA/ESC./ENDIVIA,1047.49,3439.74,3.28,8.53,HIPERMERCADOS,2016,1
01-2016,ESPARRAGOS,95.38,318.91,3.34,0.58,HIPERMERCADOS,2016,1
01-2016,VERDURAS DE HOJA,228.94,691.73,3.02,2.14,HIPERMERCADOS,2016,1
01-2016,BERENJENAS,383.94,590.71,1.54,3.24,HIPERMERCADOS,2016,1
01-2016,ZANAHORIAS,1425.07,1182.25,0.83,7.49,HIPERMERCADOS,2016,1
01-2016,CALABACINES,1768.8,2351.68,1.33,8.11,HIPERMERCADOS,2016,1
01-2016,OTR.HORTALIZAS/VERD.,3643.21,7527.07,2.07,14.89,HIPERMERCADOS,2016,1
01-2016,VERD./HORT. IV GAMA,1051.42,4480.86,4.26,8.46,HIPERMERCADOS,2016,1
02-2016,TOTAL PATATAS,12431.04,10868.31,0.87,15.95,HIPERMERCADOS,2016,2
02-2016,PATATAS FRESCAS,7086.22,4974.58,0.07,8.06,HIPERMERCADOS,2016,2
02-2016,PATATAS CONGELADAS,431.57,545.14,1.26,1.46,HIPERMERCADOS,2016,2
02-2016,PATATAS PROCESADAS,982.65,5348.59,5.44,10.29,HIPERMERCADOS,2016,2
02-2016,T.HORTALIZAS FRESCAS,16110.6,28835.32,1.79,25.95,HIPERMERCADOS,2016,2
02-2016,TOMATES,2973.11,4597.86,1.55,11.69,HIPERMERCADOS,2016,2
02-2016,CEBOLLAS,2292.83,2370.39,1.03,9.31,HIPERMERCADOS,2016,2
02-2016,AJOS,280.59,1309.74,4.67,4.09,HIPERMERCADOS,2016,2
02-2016,COLES,570.05,649.21,1.14,2.28,HIPERMERCADOS,2016,2
02-2016,PEPINOS,363.28,518.25,1.43,2.74,HIPERMERCADOS,2016,2
02-2016,JUDIAS VERDES,409.22,1116.59,2.73,3.02,HIPERMERCADOS,2016,2
02-2016,PIMIENTOS,1373.06,2668.18,1.94,8.97,HIPERMERCADOS,2016,2
02-2016,CHAMPIÑONES+O.SETAS,439.48,1809.76,4.12,4.39,HIPERMERCADOS,2016,2
02-2016,LECHUGA/ESC./ENDIVIA,825.25,2669.24,3.23,7.29,HIPERMERCADOS,2016,2
02-2016,ESPARRAGOS,75.96,298.69,3.93,0.54,HIPERMERCADOS,2016,2
02-2016,VERDURAS DE HOJA,171.86,602.47,3.51,1.76,HIPERMERCADOS,2016,2
02-2016,BERENJENAS,480.92,636.91,1.32,2.82,HIPERMERCADOS,2016,2
02-2016,ZANAHORIAS,1278.51,967.79,0.76,6.31,HIPERMERCADOS,2016,2
02-2016,CALABACINES,1362.98,1716.99,1.26,5.88,HIPERMERCADOS,2016,2
02-2016,OTR.HORTALIZAS/VERD.,3213.51,6903.26,2.15,13.53,HIPERMERCADOS,2016,2
02-2016,VERD./HORT. IV GAMA,1004.1,4116.93,0.41,8.13,HIPERMERCADOS,2016,2
03-2016,TOTAL PATATAS,11922.95,10532.81,0.88,15.04,HIPERMERCADOS,2016,3
03-2016,PATATAS FRESCAS,6767.58,4937.68,0.73,7.41,HIPERMERCADOS,2016,3
03-2016,PATATAS CONGELADAS,449.71,543.9,1.21,0.14,HIPERMERCADOS,2016,3
03-2016,PATATAS PROCESADAS,941.13,5051.23,5.37,9.82,HIPERMERCADOS,2016,3
03-2016,T.HORTALIZAS FRESCAS,16211.9,30709.52,1.89,26.32,HIPERMERCADOS,2016,3
03-2016,TOMATES,3053.25,5242.64,1.72,13.03,HIPERMERCADOS,2016,3
03-2016,CEBOLLAS,2193.62,2292.66,1.05,8.76,HIPERMERCADOS,2016,3
03-2016,AJOS,232.32,1110.24,4.78,3.47,HIPERMERCADOS,2016,3
03-2016,COLES,447.98,466.97,1.04,1.81,HIPERMERCADOS,2016,3
03-2016,PEPINOS,379.72,519.31,1.37,3.16,HIPERMERCADOS,2016,3
03-2016,JUDIAS VERDES,364.22,1240.07,0.34,2.53,HIPERMERCADOS,2016,3
