Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
08-2014,VERDURAS DE HOJA,120.71,441.68,3.66,1.41,HIPERMERCADOS,2014,8
08-2014,BERENJENAS,425.39,463.41,1.09,2.74,HIPERMERCADOS,2014,8
08-2014,ZANAHORIAS,1383.31,1290.63,0.93,7.02,HIPERMERCADOS,2014,8
08-2014,CALABACINES,837.2,813.33,0.97,4.32,HIPERMERCADOS,2014,8
08-2014,OTR.HORTALIZAS/VERD.,1690.94,5062.18,2.99,11.52,HIPERMERCADOS,2014,8
08-2014,VERD./HORT. IV GAMA,851.53,3526.35,4.14,7.59,HIPERMERCADOS,2014,8
08-2014,VERD./HORT. ECOLOGIC,400.48,572.6,1.43,1.73,HIPERMERCADOS,2014,8
09-2014,TOTAL PATATAS,12586.48,9042.2,0.72,16.29,HIPERMERCADOS,2014,9
09-2014,PATATAS FRESCAS,7415.93,3738.75,0.05,0.85,HIPERMERCADOS,2014,9
09-2014,PATATAS CONGELADAS,346.42,434.92,1.26,1.18,HIPERMERCADOS,2014,9
09-2014,PATATAS PROCESADAS,964.83,4868.53,5.05,10.54,HIPERMERCADOS,2014,9
09-2014,T.HORTALIZAS FRESCAS,15557.12,25452.63,1.64,26.17,HIPERMERCADOS,2014,9
09-2014,TOMATES,3876.4,5500.77,1.42,1.37,HIPERMERCADOS,2014,9
09-2014,CEBOLLAS,2385.14,2190.19,0.92,8.71,HIPERMERCADOS,2014,9
09-2014,AJOS,192.0,871.94,4.54,3.27,HIPERMERCADOS,2014,9
09-2014,COLES,253.1,244.52,0.97,1.17,HIPERMERCADOS,2014,9
09-2014,PEPINOS,788.01,934.03,1.19,4.76,HIPERMERCADOS,2014,9
09-2014,JUDIAS VERDES,312.56,911.27,2.92,2.56,HIPERMERCADOS,2014,9
09-2014,PIMIENTOS,1245.97,1825.75,1.47,9.64,HIPERMERCADOS,2014,9
